Object,GPV-1 Prediction
Accent Paving,0
Barrier Post,1
Barrier Stump,0
Bench,0
Bicycle,0
Brick,1
Bridge,1
Building,1
Bus,0
Bus Stop,0
Car,1
Chair,0
Closed Sidewalk,1
Cloudy,1
Counter,1
Crosswalk,1
Curb,1
Day,1
Dog,0
Driveway(flat),1
Elevator,1
Escalator,1
Fence,1
Fire hydrant,0
Flush Door,1
Foldout Sign,1
Fountain,1
Gate,1
Guide dog,0
Gutter,1
Hose,1
Jaywalker,1
Lamp Post,1
Mail box,1
Maintenance Vehicle,0
Motorcycle,1
Night,1
Obstacle on the sidewalk,1
Obstacle on the street,1
Parallel Parking Spot,1
Paratransit vehicle,0
Pedestrian Crossing,1
Person,1
Person with a disability,1
Pillar,1
Pole,0
Puddle,1
Push button,0
Railing,1
Raining,0
Raised Entryway,1
Retaining Wall,1
Road,1
Road Divider,1
Road Shoulder,1
Roadside Parking,1
Sidewalk,1
Sidewalk pits,1
Sign,1
Sign Post,1
Sloped Driveway,1
Slopped Curb,1
Snow,1
Stairs,1
Stone Block,1
Stop sign,1
Street Vendor,1
Sunny,0
Table,0
Tactile Paving,1
Traffic Signals,1
Train Platform,0
Train Tracks,0
Trash bins,1
Trash on roads,1
Tree,1
Turnstile,0
Uncontrolled Crossing,0
Uneven Stairs,1
Unpaved Road,1
Unpaved Sidewalk,1
Vegetation,0
Wall,1
Water leakage,0
Water Pipes,1
Wet surface,0
Wheelchair,1
White Cane,0
Yard Waste,1
Zebra Crossing,0
